Registration No.,Registration Type,Supplier Name,Street Address,"Municipality, Province, State, Postal Code/Zip"
367250,Non-Gaming Related (NG),Locomotive Marketing Inc.,242 MARY ST UNIT #8,NIAGARA ON THE LAKE ON L0S 1J0
368573,Non-Gaming Related (NG),RCS Construction Incorporated,26 TOPSAIL CT,BEDFORD NS B4B 1K5
371114,Non-Gaming Related (NG),Halifax Caulking Co. Ltd.,42 LODGE  DR,HALIFAX NS B3M 2G7
371443,Non-Gaming Related (NG),May Garden (1993) Company Limited o/a May Garden Chinese Rest,82 JOHNSON CR,LOWER SACKVILLE NS B4C 3A4
371445,Non-Gaming Related (NG),Capital Safe & Lock Service Ltd.,95 AKERLEY BL,DARTMOUTH NS B3B 1R7
372388,Non-Gaming Related (NG),Long View Systems Corporation,2100   250 Second Street SW,"CALGARY ,  ALBERTA  T2P 0C1"
372722,Non-Gaming Related (NG),Advocate Printing,181 BROWN'S POINT RD,PICTOU B0K 1H0
373363,Non-Gaming Related (NG),Cummins-Allison Corp.,"3350 RIDGEWAY DRIVE, UNIT 3",MISSISSAUGA ONTARIO  L5L 5Z9
374044,Non-Gaming Related (NG),Graphic Controls Canada Company (Nissha),23 Mill Street,Gananoque Ontario
374068,Non-Gaming Related (NG),Ainsworth Inc. Direct Energy Business Services,131 BERMONDSEY RD,TORONTO ON M4A 1X4
374378,Non-Gaming Related (NG),Sysco Canada Inc.,21 FOUR SEASONS PLACE SUITE 400,TORONTO ON M9B 6J8
379484,Non-Gaming Related (NG),KPMG LLP,1959 UPPER WATER  ST,HALIFAX NS B3J 3N2
380129,Non-Gaming Related (NG),Cardtronics Canada Holdings Inc,1420-28  ST BAY 6,CALGARY AB T2A 7W6
380139,Non-Gaming Related (NG),Deloitte LLP / Deloitte Inc.,8 Adelaide St. W,"Toronto, Ontario  M5H 0A9"
380142,Non-Gaming Related (NG),"A.J.R. Equities, Inc.",400 OLD LIVERPOOL RD,LIVERPOOL NY 13088-6221
381158,Non-Gaming Related (NG),Responsible Gambling Council of Canada,"411 RICHMOND ST.EAST, STE.4070","TORONTO, ONTARIO  M5E 3S5"
384824,Ticket Lottery Supplier (TLS),Rafflebox Technologies Inc.,1550 5TH ST SW,CALGARY AB T2R 1K3
382927,Ticket Lottery Supplier (TLS),MNP LLP,330 5 AVENUE SW SUITE 2000,CALGARY AB T3P 0L4
378887,Ticket Lottery Supplier (TLS),LMR Lottery Consulting Inc.,700-1 YONGE ST,TORONTO ON M5E 1E5
375855,Ticket Lottery Supplier (TLS),Trellis Social Enterprise Inc.,,
385960,Ticket Lottery Supplier (TLS),S. O. Asher Consultants Ltd.,1125 LOUISE AV,SASKATOON SK S7H 2P8
373354,Ticket Lottery Supplier (TLS),AscendFS Canada Ltd.    aka  5050 Central Ltd.,1 Yonge Street  Suite 700,"Toronto, Ontario"
370599,Ticket Lottery Supplier (TLS),Mumford Connect Web Design,760 FRENCH CROSS RD,MORDEN NS B0P 1C0
370521,Ticket Lottery Supplier (TLS),Experience Funding 3304649 Nova Scotia Limited,153 DONALDSON  AV,HALIFAX NS B3M 3B4
374628,Ticket Lottery Supplier (TLS),Tap 50 50 Event Consultants Ltd.,808 KING ST,SASKATOON SK S7K 0N7
