id;equi_id;operadora;placa;cliente_id;modelo
567;777360;TIM;KQK2548;Transportadora Translecchi LTDA;1
568;8509513;TIM;FLZ5477;Transportadora Translecchi LTDA;1
569;907378620;TIM;CSF9H46;Transportadora Translecchi LTDA;12
570;7495211;TIM;FCP1C72;Transportadora Translecchi LTDA;5
571;339994;;CANCELAR;CANCELADO;1
572;907378606;TIM;DKR8842;Transportadora Translecchi LTDA;12
573;7475805;TIM;ECO2519;Transportadora Translecchi LTDA;5
574;777378;TIM;FUU4535;Transportadora Translecchi LTDA;1
575;8415846;;CAN5846;Transportadora Translecchi LTDA;1
576;341307;TIM;EFO7454;Transportadora Translecchi LTDA;1
577;64080;;FZJ1999;Transportadora Translecchi LTDA;1
578;8354428;;FXE9737;Transportadora Translecchi LTDA;1
579;8355384;TIM;FQN1422;Transportadora Translecchi LTDA;1
580;775570;TIM;FQY3844;Transportadora Translecchi LTDA;1
581;8351726;TIM;FYU8484;Transportadora Translecchi LTDA;3
582;8225124;;CAN5124;Transportadora Translecchi LTDA;1
583;8353829;TIM;FWR6008;Transportadora Translecchi LTDA;1
584;8428130;;FYX8877;Transportadora Translecchi LTDA;1
585;8416458;TIM;FCX3652;Transportadora Translecchi LTDA;1
586;8355489;TIM;FYG7738;Transportadora Translecchi LTDA;1
587;7485062;TIM;CAN5062;Transportadora Translecchi LTDA;5
588;8223681;TIM;FYC8707;Transportadora Translecchi LTDA;1
589;907378601;TIM;EJI3617;Transportadora Translecchi LTDA;12
590;8428247;TIM;EST8247;Transportadora Translecchi LTDA;1
591;8277098;;CAN7098;Transportadora Translecchi LTDA;1
592;7464775;TIM;EYY9434;Transportadora Translecchi LTDA;5
593;8353766;TIM;FXB0204;Transportadora Translecchi LTDA;1
594;8428124;TIM;FPW9186;Transportadora Translecchi LTDA;1
595;7485141;TIM;ELN0891;Transportadora Translecchi LTDA;5
596;8425472;TIM;FMN6171;Transportadora Translecchi LTDA;1
597;8414134;TIM;FVF4953;Transportadora Translecchi LTDA;1
598;7485097;TIM;GBG6H35;Transportadora Translecchi LTDA;5
599;369288;TIM;AXF4811;Transportadora Translecchi LTDA;9
600;7432370;TIM;DDD7310;Transportadora Translecchi LTDA;5
601;8277115;TIM;FRO6609;Transportadora Translecchi LTDA;1
602;907378589;TIM;ENZ9981;Transportadora Translecchi LTDA;12
603;7475807;TIM;EEM2079;Transportadora Translecchi LTDA;5
604;8509599;TIM;FOZ2043;Transportadora Translecchi LTDA;1
605;907378592;TIM;FED5905;Transportadora Translecchi LTDA;12
606;7462993;TIM;ELE2477;Transportadora Translecchi LTDA;5
607;8414881;;CAN4881;Transportadora Translecchi LTDA;1
608;7488599;ALGAR;EZZ0F71;Sequencial Transportes;5
609;7486023;TIM;GHV2380;Transportadora Translecchi LTDA;5
610;7489006;TIM;FCN9586;Transportadora Translecchi LTDA;5
611;7496234;TIM;EST6234;Transportadora Translecchi LTDA;5
612;7485212;TIM;FNN0622;Transportadora Translecchi LTDA;5
613;7488605;TIM;GFB6702;Transportadora Translecchi LTDA;5
614;7486011;TIM;FZV7238;Transportadora Translecchi LTDA;5
615;7488618;TIM;FYY8667;Transportadora Translecchi LTDA;5
616;7484582;TIM;FNW8986;Transportadora Translecchi LTDA;5
617;7492190;TIM;FXU3791;Transportadora Translecchi LTDA;5
618;7245833;VIVO;GHP6335;Luis Claudio Gomes;5
619;7246447;TIM;EEM8819;Transportadora Translecchi LTDA;5
620;7246450;TIM;ENM8911;Transportadora Translecchi LTDA;5
621;7245518;TIM;DPX9251;Transportadora Translecchi LTDA;5
622;7243523;TIM;EVO3414;Transportadora Translecchi LTDA;5
623;7245209;CLARO;TEST183;Vetorian;201
624;7245813;Vivo;GGE6D33;Sequencial Transportes;5
625;7244110;CLARO;APR5728;Marcio;5
626;7245796;CLARO;ESS2B97;Sequencial Transportes;5
627;7244105;CLARO;PUF2430;Soludimper;5
628;7105406;CLARO;EZU4468;Transporte Rodoviario Rodomuni Ltda - Me;5
629;7104702;;MAN0000;CANCELADO;5
630;7105431;CLARO;DWC9592;Transporte Rodoviario Rodomuni Ltda - Me;5
631;7106045;CLARO;EFO0978;Transporte Rodoviario Rodomuni Ltda - Me;5
632;7102105;CLARO;DBC2834;Transporte Rodoviario Rodomuni Ltda - Me;5
633;7106073;CLARO;FHN9838;Alternativa;5
634;7105423;CLARO;MQC9614;Transporte Rodoviario Rodomuni Ltda - Me;5
635;7101923;CLARO;DQN3266;Alternativa;5
636;7108103;CLARO;EGA2656;Alternativa;5
637;8621192;CLARO;QNQ3429;Unidas;8
638;8621269;TIM;EAS8359;Jan Pauka ME;8
639;8621171;CLARO;QNP8060;Unidas;8
640;8503655;TIM;RSV0000;VogelTelecom;1
